id,NDVI,SummaryQA,DayOfYear,yr
0,0.1864,3.0,11.0,2015.0
1,0.0541,2.0,3.0,2015.0
2,0.1781,3.0,11.0,2015.0
3,0.1024,2.0,5.0,2015.0
4,0.0898,2.0,3.0,2015.0
5,0.0541,2.0,3.0,2015.0
6,0.0716,2.0,12.0,2015.0
0,0.1582,3.0,32.0,2015.0
1,0.12050000000000001,3.0,22.0,2015.0
2,0.17200000000000001,3.0,32.0,2015.0
3,0.1413,3.0,32.0,2015.0
4,0.0806,3.0,24.0,2015.0
5,0.12050000000000001,3.0,22.0,2015.0
6,0.12860000000000002,2.0,24.0,2015.0
0,0.13570000000000002,3.0,38.0,2015.0
1,0.0678,2.0,42.0,2015.0
2,0.10010000000000001,3.0,38.0,2015.0
3,0.1086,3.0,38.0,2015.0
4,0.1262,3.0,38.0,2015.0
5,0.0678,2.0,42.0,2015.0
6,0.0758,2.0,42.0,2015.0
0,0.0852,2.0,53.0,2015.0
1,0.0862,2.0,64.0,2015.0
2,0.0791,2.0,53.0,2015.0
3,0.06570000000000001,2.0,53.0,2015.0
4,0.0655,2.0,63.0,2015.0
5,0.0862,2.0,64.0,2015.0
6,0.0902,2.0,64.0,2015.0
0,0.046900000000000004,2.0,67.0,2015.0
1,0.061200000000000004,2.0,76.0,2015.0
2,0.0279,2.0,67.0,2015.0
3,0.0468,2.0,76.0,2015.0
4,0.07490000000000001,2.0,66.0,2015.0
5,0.061200000000000004,2.0,76.0,2015.0
6,0.060500000000000005,2.0,76.0,2015.0
0,0.0916,2.0,86.0,2015.0
1,0.10160000000000001,2.0,86.0,2015.0
2,0.0834,2.0,86.0,2015.0
3,0.0777,2.0,86.0,2015.0
4,0.0603,2.0,86.0,2015.0
5,0.10160000000000001,2.0,86.0,2015.0
6,0.0932,2.0,86.0,2015.0
0,0.3569,0.0,103.0,2015.0
1,0.319,0.0,103.0,2015.0
2,0.2894,0.0,103.0,2015.0
3,0.37070000000000003,0.0,103.0,2015.0
4,0.24700000000000003,1.0,99.0,2015.0
5,0.319,0.0,103.0,2015.0
6,0.35960000000000003,0.0,103.0,2015.0
0,0.3468,1.0,121.0,2015.0
1,0.3114,1.0,121.0,2015.0
2,0.3544,1.0,121.0,2015.0
3,0.3619,1.0,121.0,2015.0
4,0.3647,1.0,121.0,2015.0
5,0.3114,1.0,121.0,2015.0
6,0.3669,1.0,121.0,2015.0
0,0.5484,0.0,140.0,2015.0
1,0.46440000000000003,0.0,140.0,2015.0
2,0.5386000000000001,0.0,140.0,2015.0
3,0.4738,0.0,140.0,2015.0
4,0.48300000000000004,0.0,140.0,2015.0
5,0.46440000000000003,0.0,140.0,2015.0
6,0.526,0.0,140.0,2015.0
0,0.7566,1.0,147.0,2015.0
1,0.7144,1.0,147.0,2015.0
2,0.8006000000000001,1.0,147.0,2015.0
3,0.7335,1.0,147.0,2015.0
4,0.7724000000000001,1.0,147.0,2015.0
5,0.7144,1.0,147.0,2015.0
6,0.7343000000000001,1.0,147.0,2015.0
0,0.8529,0.0,163.0,2015.0
1,0.8198000000000001,0.0,163.0,2015.0
2,0.8757,0.0,163.0,2015.0
3,0.8371000000000001,0.0,163.0,2015.0
4,0.8301000000000001,0.0,163.0,2015.0
5,0.8198000000000001,0.0,163.0,2015.0
6,0.8473,0.0,163.0,2015.0
0,0.8889,0.0,179.0,2015.0
1,0.8724000000000001,0.0,179.0,2015.0
2,0.8996000000000001,0.0,179.0,2015.0
3,0.8922,0.0,179.0,2015.0
4,0.8403,0.0,179.0,2015.0
5,0.8724000000000001,0.0,179.0,2015.0
6,0.8738,0.0,179.0,2015.0
0,0.8702000000000001,1.0,206.0,2015.0
1,0.8662000000000001,0.0,206.0,2015.0
2,0.8644000000000001,1.0,206.0,2015.0
3,0.885,0.0,206.0,2015.0
4,0.8443,0.0,206.0,2015.0
5,0.8662000000000001,0.0,206.0,2015.0
6,0.8814000000000001,0.0,206.0,2015.0
0,0.8788,0.0,222.0,2015.0
1,0.8671000000000001,0.0,222.0,2015.0
2,0.8732000000000001,0.0,222.0,2015.0
3,0.8759,0.0,211.0,2015.0
4,0.8515,0.0,211.0,2015.0
5,0.8671000000000001,0.0,222.0,2015.0
6,0.8688,0.0,222.0,2015.0
0,0.8816,1.0,225.0,2015.0
1,0.8755000000000001,1.0,225.0,2015.0
2,0.874,1.0,225.0,2015.0
3,0.8643000000000001,1.0,225.0,2015.0
4,0.8475,1.0,225.0,2015.0
5,0.8755000000000001,1.0,225.0,2015.0
6,0.8729,1.0,225.0,2015.0
0,0.8391000000000001,0.0,243.0,2015.0
1,0.8154,0.0,243.0,2015.0
2,0.8134,0.0,243.0,2015.0
3,0.8346,0.0,243.0,2015.0
4,0.8161,0.0,243.0,2015.0
5,0.8154,0.0,243.0,2015.0
6,0.8286,0.0,243.0,2015.0
0,0.7256,0.0,261.0,2015.0
1,0.6842,0.0,261.0,2015.0
2,0.7163,0.0,261.0,2015.0
3,0.6911,0.0,261.0,2015.0
4,0.6542,0.0,261.0,2015.0
5,0.6842,0.0,261.0,2015.0
6,0.6953,0.0,261.0,2015.0
0,0.44770000000000004,0.0,286.0,2015.0
1,0.4264,0.0,286.0,2015.0
2,0.4173,0.0,286.0,2015.0
3,0.47190000000000004,0.0,286.0,2015.0
4,0.4425,0.0,286.0,2015.0
5,0.4264,0.0,286.0,2015.0
6,0.4632,0.0,286.0,2015.0
0,0.4329,0.0,289.0,2015.0
1,0.4494,0.0,289.0,2015.0
2,0.4178,0.0,289.0,2015.0
3,0.4661,0.0,289.0,2015.0
4,0.46630000000000005,0.0,289.0,2015.0
5,0.4494,0.0,289.0,2015.0
6,0.4867,0.0,289.0,2015.0
0,0.3544,1.0,316.0,2015.0
1,0.3482,1.0,316.0,2015.0
2,0.327,1.0,316.0,2015.0
3,0.3088,1.0,316.0,2015.0
4,0.2918,1.0,316.0,2015.0
5,0.3482,1.0,316.0,2015.0
6,0.3509,1.0,316.0,2015.0
0,0.2509,3.0,335.0,2015.0
1,0.44210000000000005,1.0,326.0,2015.0
2,0.2152,3.0,335.0,2015.0
3,0.49010000000000004,1.0,326.0,2015.0
4,0.4449,3.0,326.0,2015.0
5,0.44210000000000005,1.0,326.0,2015.0
6,0.556,3.0,326.0,2015.0
0,0.27190000000000003,3.0,339.0,2015.0
1,0.12090000000000001,2.0,349.0,2015.0
2,0.2114,3.0,339.0,2015.0
3,0.2409,3.0,339.0,2015.0
4,0.11520000000000001,2.0,349.0,2015.0
5,0.12090000000000001,2.0,349.0,2015.0
